,topic,questions,answers
13,Data Science,23) What is Model Selection in Machine Learning?,Inductive Logic Programming (ILP) is a subfield of machine learning which uses logical programming representing background knowledge and examples.
14,Data Science,24) What are the two methods used for the calibration in Supervised Learning?,"The process of selecting models among different mathematical models, which are used to describe the same data set is known as Model Selection. Model selection is applied to the fields of statistics, machine learning and data mining."
15,Data Science,25) Which method is frequently used to prevent overfitting?,"The two methods used for predicting good probabilities in Supervised Learning areThese methods are designed for binary classification, and it is not trivial."
16,Data Science,26) What is the difference between heuristic for rule learning and heuristics for decision trees?,When there is sufficient data ‘Isotonic Regression’ is used to prevent an overfitting issue.
17,Data Science,27) What is Perceptron in Machine Learning?,The difference is that the heuristics for decision trees evaluate the average quality of a number of disjointed sets while rule learners only evaluate the quality of the set of instances that is covered with the candidate rule.
18,Data Science,28) Explain the two components of Bayesian logic program?,"In Machine Learning, Perceptron is a supervised learning algorithm for binary classifiers where a binary classifier is a deciding function of whether an input represents a vector or a number."
19,Data Science,29) What are Bayesian Networks (BN) ?,"Bayesian logic program consists of two components.  The first component is a logical one ; it consists of a set of Bayesian Clauses, which captures the qualitative structure of the domain.  The second component is a quantitative one, it encodes the quantitative information about the domain."
20,Data Science,30) Why instance based learning algorithm sometimes referred as Lazy learning algorithm?,Bayesian Network is used to represent the graphical model for probability relationship among a set of variables.
21,Data Science,31) What are the two classification methods that SVM ( Support Vector Machine) can handle?,Instance based learning algorithm is also referred as Lazy learning algorithm as they delay the induction or generalization process until classification is performed.
22,Data Science,32) What is ensemble learning?,"To solve a particular computational program, multiple models such as classifiers or experts are strategically generated and combined. This process is known as ensemble learning."
23,Data Science,33) Why ensemble learning is used?,"Ensemble learning is used to improve the classification, prediction, function approximation etc of a model."
24,Data Science,34) When to use ensemble learning?,Ensemble learning is used when you build component classifiers that are more accurate and independent from each other.
25,Data Science,35) What are the two paradigms of ensemble methods?,The two paradigms of ensemble methods are
26,Data Science,36) What is the general principle of an ensemble method and what is bagging and boosting in ensemble method?,The general principle of an ensemble method is to combine the predictions of several models built with a given learning algorithm in order to improve robustness over a single model.  Bagging is a method in ensemble for improving unstable estimation or classification schemes.  While boosting method are used sequentially to reduce the bias of the combined model.  Boosting and Bagging both can reduce errors by reducing the variance term.
27,Data Science,37) What is bias-variance decomposition of classification error in ensemble method?,The expected error of a learning algorithm can be decomposed into bias and variance. A bias term measures how closely the average classifier produced by the learning algorithm matches the target function.  The variance term measures how much the learning algorithm’s prediction fluctuates for different training sets.
28,Data Science,38) What is an Incremental Learning algorithm in ensemble?,Incremental learning method is the ability of an algorithm to learn from new data that may be available after classifier has already been generated from already available dataset.
29,Data Science,"39) What is PCA, KPCA and ICA used for?","PCA (Principal Components Analysis), KPCA ( Kernel based Principal Component Analysis) and ICA ( Independent Component Analysis) are important feature extraction techniques used for dimensionality reduction."
30,Data Science,40) What is dimension reduction in Machine Learning?,"In Machine Learning and statistics, dimension reduction is the process of reducing the number of random variables under considerations and can be divided into feature selection and feature extraction."
31,Data Science,41) What are support vector machines?,Support vector machines are supervised learning algorithms used for classification and regression analysis.
32,Data Science,42) What are the components of relational evaluation techniques?,The important components of relational evaluation techniques are
33,Data Science,43) What are the different methods for Sequential Supervised Learning?,The different methods to solve Sequential Supervised Learning problems are
34,Data Science,44) What are the areas in robotics and information processing where sequential prediction problem arises?,The areas in robotics and information processing  where sequential prediction problem arises are
35,Data Science,45) What is batch statistical learning?,Statistical learning techniques allow learning a function or predictor from a set of observed data that can make predictions about unseen or future data. These techniques provide guarantees on the performance of the learned predictor on the future unseen data based on a statistical assumption on the data generating process.
36,Data Science,46)   What is PAC Learning?,PAC (Probably Approximately Correct) learning is a learning framework that has been introduced to analyze learning algorithms and their statistical efficiency.
37,Data Science,48) What is sequence learning?,Sequence learning is a method of teaching and learning in a logical manner.
