questions,answers
28. What is keyword normalization?,Keyword normalization is an NLP technique where we apply normalization on a word to condense it to its most basic form.
29. What is lemmatization in NLP?,"Lemmatization is a type of normalization used to group similar terms to their base form-based on the parts of speech. For example, talking and talking can be mapped to a single term, walk."
30. What is stemming in NLP?,"Stemming in NLP is also a type of normalization and is similar to lemmatization, but the difference here is that it segregates the words without the parts of speech tags. It is faster than lemmatization and can also be more accurate in some cases."
31. What is ambiguity in NLP?,"Ambiguity can be referred to as a condition when a word can have multiple interpretations and results in being misunderstood. Natural languages are ambiguous and can make it difficult to process NLP techniques on them, resulting in the wrong output."
32. What is tokenization in NLP?,Tokenization is the process of breaking down large sets of text into small parts for easy readability and understanding. Each small part is referred to as ‘text’ and provides a piece of meaningful information.
33. What are stop words in NLP?,"Stop words are the unwanted text that is present in the input. It is the process of removal of unwanted text from further processing of text, for example, a, to, can, etc."
34. How to find word similarity in NLP?,Word similarity in NLP is done by calculating the word vectors of the words in the vector space and then calculating the similarity on a scale of 0 to 1.
35. How to find sentence similarity in NLP?,Sentence similarity is done in NLP by finding the cosine similarity between the two sentences. It can be done by finding the cosine angle between the vectors of two sentences in the inner product space.
36. How to find document similarity in NLP?,Document similarity is done in NLP by converting the documents into the TF-IDF vectors form and finding their cosine similarity.
37. What are transformers?,Transformers are deep learning architectures that can parallelize computations. They are used to learn long term dependencies.
"38. What are punctuations in NLP, and how can we remove them?",Punctuations are the punctuations in the corpus or the input text. We can remove them by using the tokenizer function of NLTK. We can use nltk.RegexpTokenizer() to remove all punctuations.
39. What is latent semantic indexing (LSI)?,"Latent Semantic Indexing,, also referred to as the latent semantic analysis, is an NLP technique used to remove stop words from processing the text into the text’s main content. It is used to find relationships between different words."
40. What is named entity recognition (NER)?,"Named Entity Recognition is a part of information retrieval, a method to locate and classify the entities present in the unstructured data provided and convert them into predefined categories."
41. What is NLTK in NLP?,"NTLK, an abbreviation of Natural Language Toolkit, is one of NLP’s most popular libraries. It was written in Python and contained libraries for tokenization, classification, tagging, stemming, parsing, and semantic reasoning."
42. What is spaCY?,spaCY is an open-source library for natural language processing on an advanced level. It is mostly used for production-level usage and uses convolutional neural network models.
43. What is openNLP?,"openNLP is a java based library used for Natural Language Processing, and it supports most of the NLP tasks such as tokenization, language detection, etc."
44. What is the difference between NLTK and openNLP?,"There is a small difference between NTLK and openNLP, i.e., NLTK is written in python, and openNLP is based on java. One other difference is that NTLK has an option of downloading corpora by an in-built method."
45. What is parsing?,Parsing is the method of analyzing the sentence automatically based on the syntactic structure.
46. What is dependency parsing?,"Dependency parsing, also called syntactic parsing, recognizes a dependency parse of a sentence and assigns a syntax structure to a sentence. It focuses on the relationship between different words."
48. What is constituency parsing?,Semantic parsing is a method of conversion of natural language into machine-understandable form.
49. What is shallow parsing?,
50. What are the differences between dependency parsing and shallow parsing?,"Shallow parsing, also known as light parsing and chunking, identifies constituents of sentences and then links them to different groups of grammatical meanings."
51. What is language modeling?,"The difference between shallow parsing and dependency parsing is that shallow parsing is the parsing of limited parts of the information. In contrast, dependency parsing is the process of finding relations between all the different words."
52. What is topic modeling?,Language modeling is the process of creating a probability distribution of a sequence of words. It is used to provide probability to all the words present in the sequence.
53. What is text summarization in NLP?,Topic modeling is a method of finding abstract topics in a document or set of documents to find hidden semantic structures.
54. What is the difference between a regular expression and regular grammar?,"Text summarization in NLP is the process of conversion of large pieces of text to short text. It is intended to summarize the given text, keeping the main contents and overall meaning intact."
55. What is perplexity in NLP?,"The difference between regular and regular grammar is that regular grammar is used to generate regular language, and regular expression is used to represent regular language."
"56. What is the Naive Bayes algorithm, and where is it used in NLP?",Perplexity is the condition when the system encounters something unaccountable or which is not meaningful.
57. What is the PageRank algorithm?,Naive Bayes algorithm is used to predict tags of text by calculating the probability for each tag for the text and then providing the one with the highest probability.
58. What is noise removal?,Google uses the PageRank algorithm. It is the algorithm to rank web pages in the search engine results.
59. What is word embedding?,"Noise removal is one of the NLP techniques i.e., used to remove pieces of text from the corpus that is not necessary as they can hinder our text analysis."
60. What are the word embedding libraries?,Word embedding is the process of mapping words from the vocabulary to vectors of real numbers.
61. What is word2vec?,The libraries that provide word embedding features are spaCY and genism.
61. What is doc2vec?,Word2vec is a collection of models that are used to generate word embeddings. These models are trained to reconstruct the linguistic context of the words in the corpus.
63. What is a document-term matrix?,Doc2vec is one of the unsupervised algorithms used to generate vectors of sentences or documents irrespective of their length.
64. What is wordnet?,"The document-term matrix, also called the term-document matrix, is the matrix that describes the frequency of terms occurring in a document."
65. What is GloVe in NLP?,Wordnet can be described as a database created to store words from different languages connected by their semantic relationships.
66. What is a flexible string matching?,The gloVebased on their pronunciation.
67. What is cosine similarity?,Flexible string matching or fuzzy string matching is a method to find strings that are likely to match a specific pattern. It is also called approximate string matching as it uses an approximation to find patterns between strings.
68. What is information extraction?,Cosine similarity is the measure of cosine difference between two non-zero vectors in the inner product space. It is used to find the similarity between documents irrespective of their size.
"69. What is object standardization, and when is it used?",Information extraction is the process of extracting useful data in a structured way from a given unstructured set of data.
"71. What is text generation, and when is it done?",Object standardization is the process of extracting useful information from abbreviations and other acronyms that can not be meaningful in lexical dictionaries.
71. How can we estimate the entropy of the English language?,Text-generation is the process of generating natural language texts automatically in response to the communication. It uses artificial intelligence and computational linguistic knowledge to perform this task.
72. What is Latent Dirichlet Allocation?,N-grams can estimate the entropy of the English language. The entropy of a letter is calculated by knowing the entropy of all the previous letters.
73. What are the conditional random fields?,"Latent Dirichlet Allocation is a topic modeling method where each topic represents a set of words, and every document is made of various words."
74. What are the hidden Markov random fields?,Conditional Random Fields (CRFs ) are a collection of statistical modeling methods. It is used for pattern recognition and structure prediction.
75. What is a coreference resolution?,"Hidden Markov Random fields are a derivation of the Hidden Markov Model. It is a process generated by a Markov chain, whose state sequence can only be observed by a sequence of observations."
76. What is PAC learning?,"Coreference resolution is the process of collecting all the expressions that are referring to the same entity in a text. It is used in information extraction, document summarization, and question answering."
77. What is sequence learning?,Probably Approximately Correct learning is a mathematical analysis framework. It is used for the analysis of generalization error of the learning algorithms.
78. What is an ensemble method?,Sequence learning is a method of learning where both input and output are sequences.
,The ensemble method uses multiple learning algorithms to get enhanced and more accurate performance compared to the performance of an algorithm alone.
